0000UNIQUECOUNT     	12593
ELE34030            	140	0.037%
ELE74567            	139	0.036%
ELE24064            	139	0.036%
ELE64231            	139	0.036%
SNA63157            	139	0.036%
SNA30579            	139	0.036%
GRO55545            	138	0.036%
GRO29389            	138	0.036%
DAI53495            	137	0.036%
GRO43332            	137	0.036%
GRO20770            	137	0.036%
FRO89355            	136	0.036%
GRO92635            	136	0.036%
SNA30908            	136	0.036%
SNA82308            	136	0.036%
ELE67409            	135	0.035%
SNA35732            	135	0.035%
GRO22957            	134	0.035%
FRO19520            	133	0.035%
DAI74874            	132	0.035%
DAI16142            	132	0.035%
DAI15681            	132	0.035%
ELE37153            	132	0.035%
GRO67376            	132	0.035%
GRO42566            	132	0.035%
GRO91630            	132	0.035%
GRO33356            	132	0.035%
SNA93177            	132	0.035%
DAI91654            	131	0.034%
ELE11909            	131	0.034%
ELE22574            	131	0.034%
FRO87855            	131	0.034%
GRO96567            	131	0.034%
SNA17634            	131	0.034%
SNA77634            	131	0.034%
FRO64787            	130	0.034%
GRO83111            	130	0.034%
SNA83597            	130	0.034%
SNA52886            	130	0.034%
DAI94514            	129	0.034%
ELE53386            	128	0.034%
SNA84284            	128	0.034%
DAI25796            	127	0.033%
ELE60861            	127	0.033%
GRO67714            	127	0.033%
SNA57752            	127	0.033%
GRO21047            	126	0.033%
SNA28093            	126	0.033%
DAI77909            	125	0.033%
FRO75591            	125	0.033%
GRO97621            	125	0.033%
SNA43571            	125	0.033%
FRO14040            	124	0.033%
FRO36333            	124	0.033%
DAI88808            	123	0.032%
ELE27303            	123	0.032%
ELE50759            	122	0.032%
DAI34472            	121	0.032%
ELE30196            	121	0.032%
FRO98006            	121	0.032%
GRO69388            	121	0.032%
GRO15683            	121	0.032%
SNA24061            	121	0.032%
DAI20585            	120	0.032%
GRO99635            	120	0.032%
GRO58671            	120	0.032%
SNA21851            	120	0.032%
FRO66881            	119	0.031%
FRO73386            	119	0.031%
FRO12719            	119	0.031%
FRO17134            	119	0.031%
SNA97370            	119	0.031%
SNA51149            	119	0.031%
DAI42393            	118	0.031%
ELE15428            	118	0.031%
FRO49726            	118	0.031%
SNA53983            	118	0.031%
SNA40058            	118	0.031%
DAI11778            	117	0.031%
FRO17249            	117	0.031%
FRO37380            	117	0.031%
SNA19378            	117	0.031%
SNA13853            	117	0.031%
SNA12085            	117	0.031%
DAI13194            	116	0.03%
DAI94415            	116	0.03%
DAI85054            	116	0.03%
FRO91992            	115	0.03%
FRO62970            	115	0.03%
GRO85863            	115	0.03%
SNA62046            	115	0.03%
SNA11790            	115	0.03%
DAI20027            	114	0.03%
DAI29878            	114	0.03%
GRO82070            	114	0.03%
DAI74112            	113	0.03%
DAI66473            	113	0.03%
ELE50215            	113	0.03%
GRO58055            	113	0.03%
SNA12350            	113	0.03%
SNA18183            	113	0.03%
ELE31499            	111	0.029%
SNA35089            	111	0.029%
DAI14181            	110	0.029%
SNA81556            	110	0.029%
DAI66213            	109	0.029%
ELE93905            	109	0.029%
SNA18094            	109	0.029%
SNA66588            	109	0.029%
SNA28601            	109	0.029%
DAI33885            	108	0.028%
DAI74977            	108	0.028%
DAI59441            	108	0.028%
GRO93309            	108	0.028%
SNA79852            	108	0.028%
ELE69973            	107	0.028%
ELE24694            	107	0.028%
FRO68757            	107	0.028%
GRO38636            	107	0.028%
